LIMIT_BAL,PAY_1,PAY_2,PAY_3,BILL_AMT1,BILL_AMT2,BILL_AMT3,PAY_AMT1,PAY_AMT2,PAY_AMT3,default,total_bill,total_payment,debt_ratio,avg_delay,payment_ratio
20000.0,2,2,-1,3913.0,3102.0,689.0,0.0,689.0,0.0,1,7704.0,689.0,0.3852,1.0,0.08943406022845275
120000.0,-1,2,0,2682.0,1725.0,2682.0,0.0,1000.0,1000.0,1,7089.0,2000.0,0.059075,0.3333333333333333,0.2821272393849626
90000.0,0,0,0,29239.0,14027.0,13559.0,1518.0,1500.0,1000.0,0,56825.0,4018.0,0.6313888888888889,0.0,0.07070831500219973
50000.0,0,0,0,46990.0,48233.0,49291.0,2000.0,2019.0,1200.0,0,144514.0,5219.0,2.89028,0.0,0.036114148110217695
50000.0,-1,0,-1,8617.0,5670.0,35835.0,2000.0,36681.0,10000.0,0,50122.0,48681.0,1.00244,-0.6666666666666666,0.9712501496348909
50000.0,0,0,0,64400.0,57069.0,57608.0,2500.0,1815.0,657.0,0,179077.0,4972.0,3.58154,0.0,0.027764592884625048
500000.0,0,0,0,350110.6799999999,337495.27999999997,325030.38999999897,55000.0,40000.0,38000.0,0,1012636.3499999988,133000.0,2.0252726999999977,0.0,0.13134033752590468
100000.0,0,-1,-1,11876.0,380.0,601.0,380.0,601.0,0.0,0,12857.0,981.0,0.12857,-0.6666666666666666,0.07630084778719763
140000.0,0,0,2,11285.0,14096.0,12108.0,3329.0,0.0,432.0,0,37489.0,3761.0,0.2677785714285714,0.6666666666666666,0.10032276134332738
20000.0,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-2.0,0.0
200000.0,0,0,2,11073.0,9787.0,5535.0,2306.0,12.0,50.0,0,26395.0,2368.0,0.131975,0.6666666666666666,0.08971396097745785
260000.0,-1,-1,-1,12261.0,21670.0,9966.0,21818.0,9966.0,8583.0,0,43897.0,40367.0,0.1688346153846154,-1.0,0.9195844818552521
630000.0,-1,0,-1,12137.0,6500.0,6500.0,1000.0,6500.0,6500.0,0,25137.0,14000.0,0.0399,-0.6666666666666666,0.556947925368978
70000.0,1,2,2,65802.0,67369.0,65701.0,3200.0,0.0,3000.0,1,198872.0,6200.0,2.8410285714285712,1.6666666666666667,0.03117583169073575
250000.0,0,0,0,70887.0,67060.0,63561.0,3000.0,3000.0,3000.0,0,201508.0,9000.0,0.806032,0.0,0.044663239176608374
50000.0,1,2,0,50614.0,29173.0,28116.0,0.0,1500.0,1100.0,0,107903.0,2600.0,2.15806,1.0,0.0240957155964153
20000.0,0,0,2,15376.0,18010.0,17428.0,3200.0,0.0,1500.0,1,50814.0,4700.0,2.5407,0.6666666666666666,0.0924941945133231
320000.0,0,0,0,253286.0,246536.0,194663.0,10358.0,10000.0,70000.0,0,694485.0,90358.0,2.170265625,0.0,0.13010792169737287
360000.0,1,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-1.0,0.0
180000.0,1,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-1.0,0.0
130000.0,0,0,0,38358.0,27688.0,24489.0,3000.0,1537.0,1000.0,0,90535.0,5537.0,0.6964230769230769,0.0,0.061158667918484566
120000.0,-1,-1,-1,316.0,316.0,316.0,316.0,316.0,0.0,1,948.0,632.0,0.0079,-1.0,0.6666666666666666
70000.0,2,0,0,41087.0,42445.0,45020.0,2007.0,3582.0,0.0,1,128552.0,5589.0,1.8364571428571428,0.6666666666666666,0.043476569792768684
